# File created by cg/ins/runs/readTerrain.m (matlab script)
# This is the 3D surface
# This file is included in the ogen script terrainGrid.cmd.
# You should define the variable $degree to be the degree of the NURBS
# xScale=1.000000e+00 yScale=1.000000e+00 zScale=1.000000e+00
$xMin=0.000000e+00; $xMax=1.485494e+03; $yMin=0.000000e+00; $yMax=1.484251e+03; $zMin=2.279695e+02; $zMax=4.707399e+02;# bounds
183 145 $degree
4.489131e+02 1.030730e+01 2.601364e+02
4.570752e+02 1.030730e+01 2.621412e+02
4.652372e+02 1.030730e+01 2.642329e+02
4.733993e+02 1.030730e+01 2.663789e+02
4.815613e+02 1.030730e+01 2.685566e+02
4.897234e+02 1.030730e+01 2.707497e+02
4.978854e+02 1.030730e+01 2.729433e+02
5.060475e+02 1.030730e+01 2.751180e+02
5.142095e+02 1.030730e+01 2.772475e+02
5.223716e+02 1.030730e+01 2.792967e+02
5.305337e+02 1.030730e+01 2.812218e+02
5.386957e+02 1.030730e+01 2.829720e+02
5.468578e+02 1.030730e+01 2.844921e+02
5.550198e+02 1.030730e+01 2.857255e+02
5.631819e+02 1.030730e+01 2.866189e+02
5.713439e+02 1.030730e+01 2.871266e+02
5.795060e+02 1.030730e+01 2.872153e+02
5.876681e+02 1.030730e+01 2.868677e+02
5.958301e+02 1.030730e+01 2.860849e+02
6.039922e+02 1.030730e+01 2.848867e+02
6.121542e+02 1.030730e+01 2.833094e+02
6.203163e+02 1.030730e+01 2.814028e+02
6.284783e+02 1.030730e+01 2.792251e+02
6.366404e+02 1.030730e+01 2.768382e+02
6.448024e+02 1.030730e+01 2.743030e+02
6.529645e+02 1.030730e+01 2.716759e+02
6.611266e+02 1.030730e+01 2.690068e+02
6.692886e+02 1.030730e+01 2.663398e+02
6.774507e+02 1.030730e+01 2.637185e+02
6.856127e+02 1.030730e+01 2.611931e+02
6.937748e+02 1.030730e+01 2.588285e+02
7.019368e+02 1.030730e+01 2.567081e+02
7.100989e+02 1.030730e+01 2.549301e+02
7.182610e+02 1.030730e+01 2.535968e+02
7.264230e+02 1.030730e+01 2.527977e+02
7.345851e+02 1.030730e+01 2.525937e+02
7.427471e+02 1.030730e+01 2.530076e+02
7.509092e+02 1.030730e+01 2.540228e+02
7.590712e+02 1.030730e+01 2.555913e+02
7.672333e+02 1.030730e+01 2.576458e+02
7.753953e+02 1.030730e+01 2.601114e+02
7.835574e+02 1.030730e+01 2.629128e+02
7.917195e+02 1.030730e+01 2.659764e+02
7.998815e+02 1.030730e+01 2.692265e+02
8.080436e+02 1.030730e+01 2.725805e+02
8.162056e+02 1.030730e+01 2.759455e+02
8.243677e+02 1.030730e+01 2.792210e+02
8.325297e+02 1.030730e+01 2.823078e+02
8.406918e+02 1.030730e+01 2.851221e+02
8.488539e+02 1.030730e+01 2.876085e+02
8.570159e+02 1.030730e+01 2.897483e+02
8.651780e+02 1.030730e+01 2.915571e+02
8.733400e+02 1.030730e+01 2.930760e+02
8.815021e+02 1.030730e+01 2.943574e+02
8.896641e+02 1.030730e+01 2.954519e+02
8.978262e+02 1.030730e+01 2.963995e+02
9.059882e+02 1.030730e+01 2.972243e+02
9.141503e+02 1.030730e+01 2.979315e+02
9.223124e+02 1.030730e+01 2.985038e+02
9.304744e+02 1.030730e+01 2.988981e+02
9.386365e+02 1.030730e+01 2.990444e+02
9.467985e+02 1.030730e+01 2.988518e+02
9.549606e+02 1.030730e+01 2.982219e+02
9.631226e+02 1.030730e+01 2.970695e+02
9.712847e+02 1.030730e+01 2.953420e+02
9.794468e+02 1.030730e+01 2.930322e+02
9.876088e+02 1.030730e+01 2.901781e+02
9.957709e+02 1.030730e+01 2.868516e+02
1.003933e+03 1.030730e+01 2.831390e+02
1.012095e+03 1.030730e+01 2.791245e+02
1.020257e+03 1.030730e+01 2.748788e+02
1.028419e+03 1.030730e+01 2.704590e+02
1.036581e+03 1.030730e+01 2.659152e+02
1.044743e+03 1.030730e+01 2.613031e+02
1.052905e+03 1.030730e+01 2.566968e+02
1.061067e+03 1.030730e+01 2.521989e+02
1.069229e+03 1.030730e+01 2.479437e+02
1.077391e+03 1.030730e+01 2.440902e+02
1.085553e+03 1.030730e+01 2.408055e+02
1.093716e+03 1.030730e+01 2.382413e+02
1.101878e+03 1.030730e+01 2.365110e+02
1.110040e+03 1.030730e+01 2.356733e+02
1.118202e+03 1.030730e+01 2.357262e+02
1.126364e+03 1.030730e+01 2.366125e+02
1.134526e+03 1.030730e+01 2.382327e+02
1.142688e+03 1.030730e+01 2.404634e+02
1.150850e+03 1.030730e+01 2.431746e+02
1.159012e+03 1.030730e+01 2.462449e+02
1.167174e+03 1.030730e+01 2.495716e+02
1.175336e+03 1.030730e+01 2.530749e+02
1.183498e+03 1.030730e+01 2.566983e+02
1.191660e+03 1.030730e+01 2.604055e+02
1.199822e+03 1.030730e+01 2.641779e+02
1.207984e+03 1.030730e+01 2.680108e+02
1.216146e+03 1.030730e+01 2.719100e+02
1.224308e+03 1.030730e+01 2.758881e+02
1.232470e+03 1.030730e+01 2.799600e+02
1.240633e+03 1.030730e+01 2.841379e+02
1.248795e+03 1.030730e+01 2.884266e+02
1.256957e+03 1.030730e+01 2.928179e+02
1.265119e+03 1.030730e+01 2.972813e+02
1.273281e+03 1.030730e+01 3.017543e+02
1.281443e+03 1.030730e+01 3.061314e+02
1.289605e+03 1.030730e+01 3.102607e+02
1.297767e+03 1.030730e+01 3.139515e+02
1.305929e+03 1.030730e+01 3.169955e+02
1.314091e+03 1.030730e+01 3.191976e+02
1.322253e+03 1.030730e+01 3.204091e+02
1.330415e+03 1.030730e+01 3.205512e+02
1.338577e+03 1.030730e+01 3.196258e+02
1.346739e+03 1.030730e+01 3.177095e+02
1.354901e+03 1.030730e+01 3.149372e+02
1.363063e+03 1.030730e+01 3.114820e+02
1.371225e+03 1.030730e+01 3.075382e+02
1.379388e+03 1.030730e+01 3.033125e+02
1.387550e+03 1.030730e+01 2.990179e+02
1.395712e+03 1.030730e+01 2.948638e+02
1.403874e+03 1.030730e+01 2.910274e+02
1.412036e+03 1.030730e+01 2.876190e+02
1.420198e+03 1.030730e+01 2.846858e+02
1.428360e+03 1.030730e+01 2.822396e+02
1.436522e+03 1.030730e+01 2.802728e+02
1.444684e+03 1.030730e+01 2.787619e+02
1.452846e+03 1.030730e+01 2.776731e+02
1.461008e+03 1.030730e+01 2.769707e+02
1.469170e+03 1.030730e+01 2.766266e+02
1.477332e+03 1.030730e+01 2.766266e+02
1.485494e+03 1.030730e+01 2.766266e+02
0.000000e+00 2.061460e+01 3.058585e+02
8.162056e+00 2.061460e+01 3.058585e+02
1.632411e+01 2.061460e+01 3.058585e+02
2.448617e+01 2.061460e+01 3.058897e+02
3.264823e+01 2.061460e+01 3.059463e+02
4.081028e+01 2.061460e+01 3.060012e+02
4.897234e+01 2.061460e+01 3.060246e+02
5.713439e+01 2.061460e+01 3.059877e+02
6.529645e+01 2.061460e+01 3.058631e+02
7.345851e+01 2.061460e+01 3.056209e+02
8.162056e+01 2.061460e+01 3.052187e+02
8.978262e+01 2.061460e+01 3.045928e+02
9.794468e+01 2.061460e+01 3.036772e+02
1.061067e+02 2.061460e+01 3.024422e+02
1.142688e+02 2.061460e+01 3.009051e+02
1.224308e+02 2.061460e+01 2.991130e+02
1.305929e+02 2.061460e+01 2.971225e+02
1.387550e+02 2.061460e+01 2.949839e+02
1.469170e+02 2.061460e+01 2.927310e+02
1.550791e+02 2.061460e+01 2.903762e+02
1.632411e+02 2.061460e+01 2.879118e+02
1.714032e+02 2.061460e+01 2.853146e+02
1.795652e+02 2.061460e+01 2.825541e+02
1.877273e+02 2.061460e+01 2.796002e+02
1.958894e+02 2.061460e+01 2.764300e+02
2.040514e+02 2.061460e+01 2.730325e+02
2.122135e+02 2.061460e+01 2.694116e+02
2.203755e+02 2.061460e+01 2.655881e+02
2.285376e+02 2.061460e+01 2.616004e+02
2.366996e+02 2.061460e+01 2.575050e+02
2.448617e+02 2.061460e+01 2.533777e+02
2.530237e+02 2.061460e+01 2.493136e+02
2.611858e+02 2.061460e+01 2.454284e+02
2.693479e+02 2.061460e+01 2.418561e+02
2.775099e+02 2.061460e+01 2.387434e+02
2.856720e+02 2.061460e+01 2.362372e+02
2.938340e+02 2.061460e+01 2.344666e+02
3.019961e+02 2.061460e+01 2.335215e+02
3.101581e+02 2.061460e+01 2.334317e+02
3.183202e+02 2.061460e+01 2.341544e+02
3.264823e+02 2.061460e+01 2.355728e+02
3.346443e+02 2.061460e+01 2.375089e+02
3.428064e+02 2.061460e+01 2.397485e+02
3.509684e+02 2.061460e+01 2.420746e+02
3.591305e+02 2.061460e+01 2.442987e+02
3.672925e+02 2.061460e+01 2.462874e+02
3.754546e+02 2.061460e+01 2.479766e+02
3.836166e+02 2.061460e+01 2.493721e+02
3.917787e+02 2.061460e+01 2.505391e+02
3.999408e+02 2.061460e+01 2.515813e+02
4.081028e+02 2.061460e+01 2.526154e+02
4.162649e+02 2.061460e+01 2.537463e+02
4.244269e+02 2.061460e+01 2.550476e+02
4.325890e+02 2.061460e+01 2.565533e+02
4.407510e+02 2.061460e+01 2.582597e+02
4.489131e+02 2.061460e+01 2.601364e+02
4.570752e+02 2.061460e+01 2.621412e+02
4.652372e+02 2.061460e+01 2.642329e+02
4.733993e+02 2.061460e+01 2.663789e+02
4.815613e+02 2.061460e+01 2.685566e+02
4.897234e+02 2.061460e+01 2.707497e+02
4.978854e+02 2.061460e+01 2.729433e+02
5.060475e+02 2.061460e+01 2.751180e+02
5.142095e+02 2.061460e+01 2.772475e+02
5.223716e+02 2.061460e+01 2.792967e+02
5.305337e+02 2.061460e+01 2.812218e+02
5.386957e+02 2.061460e+01 2.829720e+02
5.468578e+02 2.061460e+01 2.844921e+02
5.550198e+02 2.061460e+01 2.857255e+02
5.631819e+02 2.061460e+01 2.866189e+02
5.713439e+02 2.061460e+01 2.871266e+02
5.795060e+02 2.061460e+01 2.872153e+02
5.876681e+02 2.061460e+01 2.868677e+02
5.958301e+02 2.061460e+01 2.860849e+02
6.039922e+02 2.061460e+01 2.848867e+02
6.121542e+02 2.061460e+01 2.833094e+02
6.203163e+02 2.061460e+01 2.814028e+02
6.284783e+02 2.061460e+01 2.792251e+02
6.366404e+02 2.061460e+01 2.768382e+02
6.448024e+02 2.061460e+01 2.743030e+02
6.529645e+02 2.061460e+01 2.716759e+02
6.611266e+02 2.061460e+01 2.690068e+02
6.692886e+02 2.061460e+01 2.663398e+02
6.774507e+02 2.061460e+01 2.637185e+02
6.856127e+02 2.061460e+01 2.611931e+02
6.937748e+02 2.061460e+01 2.588285e+02
7.019368e+02 2.061460e+01 2.567081e+02
7.100989e+02 2.061460e+01 2.549301e+02
7.182610e+02 2.061460e+01 2.535968e+02
7.264230e+02 2.061460e+01 2.527977e+02
7.345851e+02 2.061460e+01 2.525937e+02
7.427471e+02 2.061460e+01 2.530076e+02
7.509092e+02 2.061460e+01 2.540228e+02
7.590712e+02 2.061460e+01 2.555913e+02
7.672333e+02 2.061460e+01 2.576458e+02
7.753953e+02 2.061460e+01 2.601114e+02
7.835574e+02 2.061460e+01 2.629128e+02
7.917195e+02 2.061460e+01 2.659764e+02
7.998815e+02 2.061460e+01 2.692265e+02
8.080436e+02 2.061460e+01 2.725805e+02
8.162056e+02 2.061460e+01 2.759455e+02
8.243677e+02 2.061460e+01 2.792210e+02
8.325297e+02 2.061460e+01 2.823078e+02
8.406918e+02 2.061460e+01 2.851221e+02
8.488539e+02 2.061460e+01 2.876085e+02
8.570159e+02 2.061460e+01 2.897483e+02
8.651780e+02 2.061460e+01 2.915571e+02
8.733400e+02 2.061460e+01 2.930760e+02
8.815021e+02 2.061460e+01 2.943574e+02
8.896641e+02 2.061460e+01 2.954519e+02
8.978262e+02 2.061460e+01 2.963995e+02
9.059882e+02 2.061460e+01 2.972243e+02
9.141503e+02 2.061460e+01 2.979315e+02
9.223124e+02 2.061460e+01 2.985038e+02
9.304744e+02 2.061460e+01 2.988981e+02
9.386365e+02 2.061460e+01 2.990444e+02
9.467985e+02 2.061460e+01 2.988518e+02
9.549606e+02 2.061460e+01 2.982219e+02
9.631226e+02 2.061460e+01 2.970695e+02
9.712847e+02 2.061460e+01 2.953420e+02
9.794468e+02 2.061460e+01 2.930322e+02
9.876088e+02 2.061460e+01 2.901781e+02
9.957709e+02 2.061460e+01 2.868516e+02
1.003933e+03 2.061460e+01 2.831390e+02
1.012095e+03 2.061460e+01 2.791245e+02
1.020257e+03 2.061460e+01 2.748788e+02
1.028419e+03 2.061460e+01 2.704590e+02
1.036581e+03 2.061460e+01 2.659152e+02
1.044743e+03 2.061460e+01 2.613031e+02
1.052905e+03 2.061460e+01 2.566968e+02
1.061067e+03 2.061460e+01 2.521989e+02
1.069229e+03 2.061460e+01 2.479437e+02
1.077391e+03 2.061460e+01 2.440902e+02
1.085553e+03 2.061460e+01 2.408055e+02
1.093716e+03 2.061460e+01 2.382413e+02
1.101878e+03 2.061460e+01 2.365110e+02
1.110040e+03 2.061460e+01 2.356733e+02
1.118202e+03 2.061460e+01 2.357262e+02
1.126364e+03 2.061460e+01 2.366125e+02
1.134526e+03 2.061460e+01 2.382327e+02
1.142688e+03 2.061460e+01 2.404634e+02
1.150850e+03 2.061460e+01 2.431746e+02
1.159012e+03 2.061460e+01 2.462449e+02
1.167174e+03 2.061460e+01 2.495716e+02
1.175336e+03 2.061460e+01 2.530749e+02
1.183498e+03 2.061460e+01 2.566983e+02
1.191660e+03 2.061460e+01 2.604055e+02
1.199822e+03 2.061460e+01 2.641779e+02
1.207984e+03 2.061460e+01 2.680108e+02
1.216146e+03 2.061460e+01 2.719100e+02
1.224308e+03 2.061460e+01 2.758881e+02
1.232470e+03 2.061460e+01 2.799600e+02
1.240633e+03 2.061460e+01 2.841379e+02
1.248795e+03 2.061460e+01 2.884266e+02
1.256957e+03 2.061460e+01 2.928179e+02
1.265119e+03 2.061460e+01 2.972813e+02
1.273281e+03 2.061460e+01 3.017543e+02
1.281443e+03 2.061460e+01 3.061314e+02
1.289605e+03 2.061460e+01 3.102607e+02
1.297767e+03 2.061460e+01 3.139515e+02
1.305929e+03 2.061460e+01 3.169955e+02
1.314091e+03 2.061460e+01 3.191976e+02
1.322253e+03 2.061460e+01 3.204091e+02
1.330415e+03 2.061460e+01 3.205512e+02
1.338577e+03 2.061460e+01 3.196258e+02
1.346739e+03 2.061460e+01 3.177095e+02
1.354901e+03 2.061460e+01 3.149372e+02
1.363063e+03 2.061460e+01 3.114820e+02
1.371225e+03 2.061460e+01 3.075382e+02
1.379388e+03 2.061460e+01 3.033125e+02
1.387550e+03 2.061460e+01 2.990179e+02
1.395712e+03 2.061460e+01 2.948638e+02
1.403874e+03 2.061460e+01 2.910274e+02
1.412036e+03 2.061460e+01 2.876190e+02
1.420198e+03 2.061460e+01 2.846858e+02
1.428360e+03 2.061460e+01 2.822396e+02
1.436522e+03 2.061460e+01 2.802728e+02
1.444684e+03 2.061460e+01 2.787619e+02
1.452846e+03 2.061460e+01 2.776731e+02
1.461008e+03 2.061460e+01 2.769707e+02
1.469170e+03 2.061460e+01 2.766266e+02
1.477332e+03 2.061460e+01 2.766266e+02
1.485494e+03 2.061460e+01 2.766266e+02
0.000000e+00 3.092190e+01 3.057217e+02
8.162056e+00 3.092190e+01 3.057217e+02
1.632411e+01 3.092190e+01 3.057217e+02
2.448617e+01 3.092190e+01 3.057278e+02
3.264823e+01 3.092190e+01 3.057505e+02
4.081028e+01 3.092190e+01 3.057657e+02
4.897234e+01 3.092190e+01 3.057471e+02
5.713439e+01 3.092190e+01 3.056692e+02
