# File created by cgDoc/nif/afm/afm3d.m (matlab script)
# This file is included in afm3d.cmd which is used by the ogen script interfaceBump3d.cmd
# You should define the variable $degree to be the degree of the NURBS
# xScale=1.000000e+05 yScale=1.000000e+05 zScale=1.000000e+05
$xa=2.191780e+00; $xb=2.808220e+00; $ya=2.191780e+00; $yb=2.808220e+00; # horizonatal bounds
$zMin=-4.515180e-02; $zMax=2.100380e-02; # vertical bounds
64 64 $degree
2.729940e+00 2.201570e+00 -1.780793e-02
2.739730e+00 2.201570e+00 -1.925090e-02
2.749510e+00 2.201570e+00 -2.056813e-02
2.759300e+00 2.201570e+00 -2.169898e-02
2.769080e+00 2.201570e+00 -2.258795e-02
2.778860e+00 2.201570e+00 -2.319028e-02
2.788650e+00 2.201570e+00 -2.347994e-02
2.798430e+00 2.201570e+00 -2.347994e-02
2.808220e+00 2.201570e+00 -2.347994e-02
2.191780e+00 2.211350e+00 -3.153535e-03
2.201570e+00 2.211350e+00 -3.153535e-03
2.211350e+00 2.211350e+00 -3.153535e-03
2.221140e+00 2.211350e+00 -3.236330e-03
2.230920e+00 2.211350e+00 -3.389660e-03
2.240700e+00 2.211350e+00 -3.603038e-03
2.250490e+00 2.211350e+00 -3.863387e-03
2.260270e+00 2.211350e+00 -4.155662e-03
2.270060e+00 2.211350e+00 -4.464169e-03
2.279840e+00 2.211350e+00 -4.773837e-03
2.289630e+00 2.211350e+00 -5.071220e-03
2.299410e+00 2.211350e+00 -5.345118e-03
2.309200e+00 2.211350e+00 -5.586801e-03
2.318980e+00 2.211350e+00 -5.789879e-03
2.328770e+00 2.211350e+00 -5.949960e-03
2.338550e+00 2.211350e+00 -6.064246e-03
2.348340e+00 2.211350e+00 -6.131258e-03
2.358120e+00 2.211350e+00 -6.150875e-03
2.367910e+00 2.211350e+00 -6.124825e-03
2.377690e+00 2.211350e+00 -6.057695e-03
2.387480e+00 2.211350e+00 -5.958204e-03
2.397260e+00 2.211350e+00 -5.839884e-03
2.407050e+00 2.211350e+00 -5.719758e-03
2.416830e+00 2.211350e+00 -5.614296e-03
2.426610e+00 2.211350e+00 -5.534499e-03
2.436400e+00 2.211350e+00 -5.483583e-03
2.446180e+00 2.211350e+00 -5.458461e-03
2.455970e+00 2.211350e+00 -5.452397e-03
2.465750e+00 2.211350e+00 -5.455929e-03
2.475540e+00 2.211350e+00 -5.456676e-03
2.485320e+00 2.211350e+00 -5.441409e-03
2.495110e+00 2.211350e+00 -5.401929e-03
2.504890e+00 2.211350e+00 -5.341534e-03
2.514680e+00 2.211350e+00 -5.276034e-03
2.524460e+00 2.211350e+00 -5.225904e-03
2.534250e+00 2.211350e+00 -5.203051e-03
2.544030e+00 2.211350e+00 -5.201466e-03
2.553820e+00 2.211350e+00 -5.200223e-03
2.563600e+00 2.211350e+00 -5.178998e-03
2.573390e+00 2.211350e+00 -5.136116e-03
2.583170e+00 2.211350e+00 -5.095823e-03
2.592950e+00 2.211350e+00 -5.099407e-03
2.602740e+00 2.211350e+00 -5.187866e-03
2.612520e+00 2.211350e+00 -5.389533e-03
2.622310e+00 2.211350e+00 -5.718951e-03
2.632090e+00 2.211350e+00 -6.182607e-03
2.641880e+00 2.211350e+00 -6.784313e-03
2.651660e+00 2.211350e+00 -7.527282e-03
2.661450e+00 2.211350e+00 -8.413657e-03
2.671230e+00 2.211350e+00 -9.442927e-03
2.681020e+00 2.211350e+00 -1.061005e-02
2.690800e+00 2.211350e+00 -1.190357e-02
2.700590e+00 2.211350e+00 -1.330395e-02
2.710370e+00 2.211350e+00 -1.478229e-02
2.720160e+00 2.211350e+00 -1.629972e-02
2.729940e+00 2.211350e+00 -1.780793e-02
2.739730e+00 2.211350e+00 -1.925090e-02
2.749510e+00 2.211350e+00 -2.056813e-02
2.759300e+00 2.211350e+00 -2.169898e-02
2.769080e+00 2.211350e+00 -2.258795e-02
2.778860e+00 2.211350e+00 -2.319028e-02
2.788650e+00 2.211350e+00 -2.347994e-02
2.798430e+00 2.211350e+00 -2.347994e-02
2.808220e+00 2.211350e+00 -2.347994e-02
2.191780e+00 2.221140e+00 -3.224123e-03
2.201570e+00 2.221140e+00 -3.224123e-03
2.211350e+00 2.221140e+00 -3.224123e-03
2.221140e+00 2.221140e+00 -3.307593e-03
2.230920e+00 2.221140e+00 -3.463063e-03
2.240700e+00 2.221140e+00 -3.679843e-03
